repo,proof_id,proof_path,loc,files_in_scope,num_preconditions,num_var_models,num_func_models,symex_steps,sat_vars,sat_clauses,max_unwind,runtime_seconds,total_coverage,target_coverage,num_errors
aws/aws-encryption-sdk-c,aws_cryptosdk_keyring_trace_clear,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_keyring_trace_clear,37,1,4,0,0,4966,301267,1079243,0,24.921,84.52380952380952,84.52380952380952,0
aws/aws-encryption-sdk-c,aws_cryptosdk_cmm_base_init,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_cmm_base_init,29,1,1,0,0,596,7370,8824,-1,16.528,89.65517241379311,89.65517241379311,0
aws/aws-encryption-sdk-c,aws_cryptosdk_enc_ctx_init,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_enc_ctx_init,20,1,0,0,0,708,7422,6042,0,16.366,77.84431137724552,77.84431137724552,0
aws/aws-encryption-sdk-c,aws_cryptosdk_edk_list_copy_all,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_edk_list_copy_all,120,1,8,2,0,9770,162707,476922,0,22.295,86.09865470852019,86.09865470852019,0
aws/aws-encryption-sdk-c,aws_cryptosdk_enc_materials_new,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_enc_materials_new,31,1,1,1,0,3779,91299,354157,0,57.313,82.41758241758241,82.41758241758241,0
aws/aws-encryption-sdk-c,aws_cryptosdk_private_algorithm_message_id_len,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_private_algorithm_message_id_len,23,1,1,0,0,1881,25882,76148,-1,14.145,100.0,100.0,0
aws/aws-encryption-sdk-c,aws_cryptosdk_compare_hash_elems_by_key_string,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_compare_hash_elems_by_key_string,52,1,4,5,0,1948,192674,816069,0,17.152,100.0,100.0,0
aws/aws-encryption-sdk-c,aws_cryptosdk_dec_materials_new,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_dec_materials_new,30,1,0,0,0,2385,58749,227246,0,22.503,81.42857142857143,81.42857142857143,0
aws/aws-encryption-sdk-c,aws_cryptosdk_edk_clean_up,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_edk_clean_up,29,1,1,0,0,969,11465,17040,-1,14.481,100.0,100.0,0
aws/aws-encryption-sdk-c,aws_cryptosdk_transfer_list,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-encryption-sdk-c/verification/cbmc/proofs/aws_cryptosdk_transfer_list,70,1,6,0,0,9165,295186,1335194,0,19.873,91.11111111111111,91.11111111111111,0
