repo,proof_id,proof_path,loc,files_in_scope,num_preconditions,num_var_models,num_func_models,symex_steps,sat_vars,sat_clauses,max_unwind,runtime_seconds,total_coverage,target_coverage,num_errors
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonUrcProcessCgreg,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonUrcProcessCgreg,84,1,1,1,0,2212,70442,70047,0,15.07,78.57142857142857,78.57142857142857,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonRegisterUrcGenericCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonRegisterUrcGenericCallback,84,1,0,1,0,2241,73849,72418,0,13.556,78.66108786610879,78.66108786610879,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonRegisterUrcNetworkRegistrationEventCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonRegisterUrcNetworkRegistrationEventCallback,84,1,0,1,0,2241,73849,72418,0,14.518,78.66108786610879,78.66108786610879,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_TimeoutAtcmdDataRecvRequestWithCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_TimeoutAtcmdDataRecvRequestWithCallback,91,1,4,0,0,1160,30857,22846,-1,13.601,100.0,100.0,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonGetIPAddress,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonGetIPAddress,86,1,0,1,0,3029,79927,76735,0,14.137,82.13058419243985,82.13058419243985,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonGetEidrxSettings,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonGetEidrxSettings,82,1,0,1,0,2969,78851,76740,0,12.626,81.0909090909091,81.0909090909091,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonGetServiceStatus,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonGetServiceStatus,92,1,0,1,0,3710,95574,5966,0,14.414,81.36094674556213,81.36094674556213,1
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonUrcProcessCereg,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonUrcProcessCereg,84,1,1,1,0,2212,70442,70047,0,13.839,78.57142857142857,78.57142857142857,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_GetModuleContext,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_GetModuleContext,88,1,0,1,0,2134,70510,69825,0,14.253,77.5609756097561,77.5609756097561,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonGetSimCardInfo,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonGetSimCardInfo,82,1,0,1,0,3482,86339,82093,0,13.591,82.37288135593221,82.37288135593221,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonSocketRegisterClosedCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonSocketRegisterClosedCallback,110,1,0,1,0,2917,84258,95245,0,14.237,81.69934640522875,81.69934640522875,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_ATGetNextTok,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_ATGetNextTok,48,1,0,0,0,162,0,0,-1,19.28,100.0,100.0,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonSocketRegisterDataReadyCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonSocketRegisterDataReadyCallback,110,1,0,1,0,2917,84254,95231,0,25.001,81.69934640522875,81.69934640522875,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonInit,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonInit,81,1,0,3,0,3826,85016,146803,0,14.36,95.0,95.0,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonSetPsmSettings,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonSetPsmSettings,82,1,0,1,0,3166,85767,82293,0,13.899,82.66666666666667,82.66666666666667,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonUrcProcessCreg,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonUrcProcessCreg,84,1,1,1,0,2212,70442,70047,0,10.668,78.57142857142857,78.57142857142857,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonRfOn,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonRfOn,80,1,0,1,0,2594,77834,75565,0,14.037,81.27340823970037,81.27340823970037,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonRegisterUrcSignalStrengthChangedCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonRegisterUrcSignalStrengthChangedCallback,84,1,0,1,0,2241,73849,72418,0,13.655,78.66108786610879,78.66108786610879,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonCleanup,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonCleanup,84,1,0,1,0,6711,123071,189592,0,12.484,93.91304347826087,93.91304347826087,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonSocketSetSockOpt,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonSocketSetSockOpt,120,1,0,1,0,11081,182322,255591,0,14.454,84.22712933753942,84.22712933753942,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonSocketRegisterSocketOpenCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonSocketRegisterSocketOpenCallback,110,1,0,1,0,2925,84280,95331,0,12.721,81.69934640522875,81.69934640522875,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_GetCurrentRat,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_GetCurrentRat,45,1,0,0,0,839,22270,1840,-1,11.871,100.0,100.0,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_LibCleanup,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_LibCleanup,84,1,0,0,0,6491,122474,188807,0,13.632,92.37668161434978,92.37668161434978,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonGetPsmSettings,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonGetPsmSettings,82,1,0,1,0,2843,79387,77013,0,12.69,81.15942028985508,81.15942028985508,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_ConvertCsqSignalBer,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_ConvertCsqSignalBer,43,1,0,0,0,148,1529,2784,-1,11.368,100.0,100.0,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonSetPdnConfig,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonSetPdnConfig,84,1,0,1,0,2948,81426,2556,0,13.069,69.8051948051948,69.8051948051948,1
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonGetModemInfo,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonGetModemInfo,83,1,0,1,0,3923,89509,84141,0,13.994,82.95081967213115,82.95081967213115,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonRfOff,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonRfOff,80,1,0,1,0,2594,77834,75565,0,13.952,81.27340823970037,81.27340823970037,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonGetRegisteredNetwork,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonGetRegisteredNetwork,92,1,0,1,0,3857,89767,91394,0,12.956,82.5938566552901,82.5938566552901,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_TimeoutAtcmdDataSendSuccessToken,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_TimeoutAtcmdDataSendSuccessToken,103,1,0,1,0,2138,71764,69612,0,12.853,78.57142857142857,78.57142857142857,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_CommonRegisterModemEventCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_CommonRegisterModemEventCallback,84,1,0,1,0,2241,73849,72418,0,10.963,78.66108786610879,78.66108786610879,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_IsValidSocket,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_IsValidSocket,83,1,0,1,0,2129,70730,70753,0,10.651,77.77777777777779,77.77777777777779,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_ATIsPrefixPresent,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_ATIsPrefixPresent,61,1,2,1,0,6939,274111,1105189,0,17.436,100.0,100.0,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_ModemEventCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_ModemEventCallback,91,1,0,0,0,2005,71295,73712,0,11.039,77.27272727272727,77.27272727272727,0
FreeRTOS/FreeRTOS-Cellular-Interface,Cellular_ATStrtoi,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/Cellular_ATStrtoi,60,1,2,0,0,245,3091,3628,-1,10.23,96.7741935483871,96.7741935483871,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_TimeoutAtcmdDataSendRequestWithCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_TimeoutAtcmdDataSendRequestWithCallback,103,1,4,0,0,1613,39720,43100,-1,11.267,99.36305732484077,99.36305732484077,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_GenericCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_GenericCallback,98,1,1,0,0,2068,71982,74427,0,10.241,77.23214285714286,77.23214285714286,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_ConvertCsqSignalRssi,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_ConvertCsqSignalRssi,43,1,0,0,0,129,1799,3780,-1,10.199,100.0,100.0,0
FreeRTOS/FreeRTOS-Cellular-Interface,_Cellular_NetworkRegistrationCallback,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/FreeRTOS-Cellular-Interface/test/cbmc/proofs/_Cellular_NetworkRegistrationCallback,97,1,0,0,0,5710,115619,113352,0,13.666,78.59922178988327,78.59922178988327,0
