repo,proof_id,proof_path,loc,files_in_scope,num_preconditions,num_var_models,num_func_models,symex_steps,sat_vars,sat_clauses,max_unwind,runtime_seconds,total_coverage,target_coverage,num_errors
awslabs/aws-c-common,aws_hash_table_get_entry_count,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_hash_table_get_entry_count,21,1,1,0,0,477,17561,28149,-1,15.383,96.51162790697676,96.51162790697676,2
awslabs/aws-c-common,aws_array_list_back,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_array_list_back,25,1,4,0,0,1009,217799,1124178,-1,15.593,97.5609756097561,97.5609756097561,4
awslabs/aws-c-common,aws_array_list_set_at,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_array_list_set_at,29,1,5,0,0,2607,441572,103924,0,22.045,85.38011695906432,85.38011695906432,7
awslabs/aws-c-common,aws_string_eq_c_str,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_string_eq_c_str,17,1,1,1,0,679,24378,85305,0,11.465,100.0,100.0,0
awslabs/aws-c-common,aws_array_list_clear,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_array_list_clear,21,1,2,0,0,375,42439,210216,-1,13.197,97.95918367346938,97.95918367346938,0
awslabs/aws-c-common,aws_byte_buf_init,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_byte_buf_init,16,1,0,0,0,293,3055,2290,0,15.227,75.51020408163265,75.51020408163265,0
awslabs/aws-c-common,aws_string_eq_byte_buf,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_string_eq_byte_buf,21,1,3,2,0,838,38465,137585,0,13.477,100.0,100.0,0
awslabs/aws-c-common,aws_byte_cursor_read_u8,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_byte_cursor_read_u8,27,1,3,0,0,351,12049,5646,-1,12.582,98.75,98.75,1
awslabs/aws-c-common,aws_ring_buffer_acquire_up_to,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_ring_buffer_acquire_up_to,39,1,3,0,0,5157,77710,100504,-1,15.927,97.43589743589743,97.43589743589743,0
awslabs/aws-c-common,aws_nospec_mask,/home/kevin/cbmc-metrics/cbmc-metrics-workspace/aws-c-common/verification/cbmc/proofs/aws_nospec_mask,17,1,0,0,0,43,5640,3788,-1,13.064,100.0,100.0,0
